#WL	ARC14
1746	99.4735
1747	99.4679
1748	99.462
1749	99.4557
1750	99.4492
1751	99.4423
1752	99.4352
1753	99.4277
1754	99.4198
1755	99.4117
1756	99.4032
1757	99.3944
1758	99.3852
1759	99.3757
1760	99.3658
1761	99.3556
1762	99.345
1763	99.3341
1764	99.3228
1765	99.3111
1766	99.2991
1767	99.2866
1768	99.2738
1769	99.2607
1770	99.2471
1771	99.2331
1772	99.2188
1773	99.204
1774	99.1888
1775	99.1733
1776	99.1573
1777	99.1409
1778	99.1241
1779	99.1069
1780	99.0892
1781	99.0712
1782	99.0526
1783	99.0337
1784	99.0143
1785	98.9945
1786	98.9742
1787	98.9535
1788	98.9324
1789	98.9108
1790	98.8887
1791	98.8662
1792	98.8432
1793	98.8197
1794	98.7958
1795	98.7714
1796	98.7465
1797	98.7211
1798	98.6953
1799	98.669
1800	98.6421
1801	98.6148
1802	98.5869
1803	98.5585
1804	98.5297
1805	98.5003
1806	98.4704
1807	98.4401
1808	98.4092
1809	98.3778
1810	98.3459
1811	98.3134
1812	98.2805
1813	98.247
1814	98.213
1815	98.1785
1816	98.1434
1817	98.1078
1818	98.0717
1819	98.035
1820	97.9978
1821	97.9601
1822	97.9218
1823	97.883
1824	97.8436
1825	97.8037
1826	97.7632
1827	97.7222
1828	97.6807
1829	97.6386
1830	97.5959
1831	97.5527
1832	97.5089
1833	97.4645
1834	97.4196
1835	97.3742
1836	97.3282
1837	97.2816
1838	97.2344
1839	97.1867
1840	97.1384
1841	97.0896
1842	97.0401
1843	96.9902
1844	96.9396
1845	96.8885
1846	96.8368
1847	96.7845
1848	96.7317
1849	96.6782
1850	96.6242
1851	96.5695
1852	96.5143
1853	96.4584
1854	96.402
1855	96.345
1856	96.2874
1857	96.2293
1858	96.1705
1859	96.1112
1860	96.0513
1861	95.9908
1862	95.9298
1863	95.8682
1864	95.806
1865	95.7432
1866	95.6799
1867	95.6159
1868	95.5515
1869	95.4864
1870	95.4207
1871	95.3545
1872	95.2877
1873	95.2204
1874	95.1525
1875	95.084
1876	95.0149
1877	94.9453
1878	94.8751
1879	94.8043
1880	94.733
1881	94.6611
1882	94.5887
1883	94.5157
1884	94.4421
1885	94.368
1886	94.2934
1887	94.2181
1888	94.1424
1889	94.0661
1890	93.9892
1891	93.9118
1892	93.8338
1893	93.7553
1894	93.6763
1895	93.5967
1896	93.5166
1897	93.4359
1898	93.3547
1899	93.273
1900	93.1908
1901	93.1082
1902	93.0251
1903	92.9415
1904	92.8574
1905	92.7728
1906	92.6876
1907	92.602
1908	92.5158
1909	92.4292
1910	92.342
1911	92.2544
1912	92.1662
1913	92.0776
1914	91.9884
1915	91.8988
1916	91.8087
1917	91.7181
1918	91.627
1919	91.5355
1920	91.4435
1921	91.351
1922	91.2581
1923	91.1647
1924	91.0708
1925	90.9765
1926	90.8817
1927	90.7865
1928	90.6908
1929	90.5947
1930	90.4981
1931	90.4012
1932	90.3037
1933	90.2059
1934	90.1076
